timeframe,name,change in price,port,product,std from avg
5d,65%卡拉加斯粉品牌价格：天津港（日）,-3.0,Tianjin,65%卡拉加斯粉,-0.8207242791832133
10d,65%卡拉加斯粉品牌价格：天津港（日）,27.0,Tianjin,65%卡拉加斯粉,0.2846249615369007
15d,65%卡拉加斯粉品牌价格：天津港（日）,48.0,Tianjin,65%卡拉加斯粉,0.7600311462787345
20d,65%卡拉加斯粉品牌价格：天津港（日）,43.0,Tianjin,65%卡拉加斯粉,1.0472509947505877
25d,65%卡拉加斯粉品牌价格：天津港（日）,110.0,Tianjin,65%卡拉加斯粉,1.0848923526410175
30d,65%卡拉加斯粉品牌价格：天津港（日）,148.0,Tianjin,65%卡拉加斯粉,1.1208881492549552
40d,65%卡拉加斯粉品牌价格：天津港（日）,160.0,Tianjin,65%卡拉加斯粉,1.3051618259235853
50d,65%卡拉加斯粉品牌价格：天津港（日）,155.0,Tianjin,65%卡拉加斯粉,1.4927834271494567
60d,65%卡拉加斯粉品牌价格：天津港（日）,226.0,Tianjin,65%卡拉加斯粉,1.5828231930544583
5d,56%印度粉矿品牌价格：天津港（日）,11.0,Tianjin,56%印度粉矿,0.34835084987227377
10d,56%印度粉矿品牌价格：天津港（日）,63.0,Tianjin,56%印度粉矿,0.9467464580110025
15d,56%印度粉矿品牌价格：天津港（日）,83.0,Tianjin,56%印度粉矿,1.2486686258177027
20d,56%印度粉矿品牌价格：天津港（日）,70.0,Tianjin,56%印度粉矿,1.549885231169296
25d,56%印度粉矿品牌价格：天津港（日）,105.0,Tianjin,56%印度粉矿,1.72699142197113
30d,56%印度粉矿品牌价格：天津港（日）,125.0,Tianjin,56%印度粉矿,1.7952927016634044
40d,56%印度粉矿品牌价格：天津港（日）,138.0,Tianjin,56%印度粉矿,1.9681369222446854
50d,56%印度粉矿品牌价格：天津港（日）,139.0,Tianjin,56%印度粉矿,2.1414670484075464
60d,56%印度粉矿品牌价格：天津港（日）,166.0,Tianjin,56%印度粉矿,2.272479317615054
5d,58%印度粉矿品牌价格：天津港（日）,11.0,Tianjin,58%印度粉矿,0.34835084987227377
10d,58%印度粉矿品牌价格：天津港（日）,63.0,Tianjin,58%印度粉矿,0.9467464580110025
15d,58%印度粉矿品牌价格：天津港（日）,83.0,Tianjin,58%印度粉矿,1.2486686258177027
20d,58%印度粉矿品牌价格：天津港（日）,70.0,Tianjin,58%印度粉矿,1.549885231169296
25d,58%印度粉矿品牌价格：天津港（日）,105.0,Tianjin,58%印度粉矿,1.72699142197113
30d,58%印度粉矿品牌价格：天津港（日）,125.0,Tianjin,58%印度粉矿,1.7952927016634044
40d,58%印度粉矿品牌价格：天津港（日）,138.0,Tianjin,58%印度粉矿,1.9681369222446854
50d,58%印度粉矿品牌价格：天津港（日）,139.0,Tianjin,58%印度粉矿,2.1414670484075464
60d,58%印度粉矿品牌价格：天津港（日）,166.0,Tianjin,58%印度粉矿,2.272479317615054
5d,59%印度粉矿品牌价格：天津港（日）,11.0,Tianjin,59%印度粉矿,0.34835084987227377
10d,59%印度粉矿品牌价格：天津港（日）,63.0,Tianjin,59%印度粉矿,0.9467464580110025
15d,59%印度粉矿品牌价格：天津港（日）,83.0,Tianjin,59%印度粉矿,1.2486686258177027
20d,59%印度粉矿品牌价格：天津港（日）,70.0,Tianjin,59%印度粉矿,1.549885231169296
25d,59%印度粉矿品牌价格：天津港（日）,105.0,Tianjin,59%印度粉矿,1.72699142197113
30d,59%印度粉矿品牌价格：天津港（日）,125.0,Tianjin,59%印度粉矿,1.7952927016634044
40d,59%印度粉矿品牌价格：天津港（日）,138.0,Tianjin,59%印度粉矿,1.9681369222446854
50d,59%印度粉矿品牌价格：天津港（日）,139.0,Tianjin,59%印度粉矿,2.1414670484075464
60d,59%印度粉矿品牌价格：天津港（日）,166.0,Tianjin,59%印度粉矿,2.272479317615054
5d,60%印度粉矿品牌价格：天津港（日）,1.0,Tianjin,60%印度粉矿,-0.486864495560143
10d,60%印度粉矿品牌价格：天津港（日）,53.0,Tianjin,60%印度粉矿,0.7477013109213283
15d,60%印度粉矿品牌价格：天津港（日）,71.0,Tianjin,60%印度粉矿,1.067909893731355
20d,60%印度粉矿品牌价格：天津港（日）,56.0,Tianjin,60%印度粉矿,1.3583891400095043
25d,60%印度粉矿品牌价格：天津港（日）,116.0,Tianjin,60%印度粉矿,1.4613128739392687
30d,60%印度粉矿品牌价格：天津港（日）,152.0,Tianjin,60%印度粉矿,1.451184241229127
40d,60%印度粉矿品牌价格：天津港（日）,172.0,Tianjin,60%印度粉矿,1.579494011332276
50d,60%印度粉矿品牌价格：天津港（日）,152.0,Tianjin,60%印度粉矿,1.7618596855270574
60d,60%印度粉矿品牌价格：天津港（日）,200.0,Tianjin,60%印度粉矿,1.9226319813466952
5d,61%印度粉矿品牌价格：天津港（日）,1.0,Tianjin,61%印度粉矿,-0.486864495560143
10d,61%印度粉矿品牌价格：天津港（日）,53.0,Tianjin,61%印度粉矿,0.7477013109213283
15d,61%印度粉矿品牌价格：天津港（日）,71.0,Tianjin,61%印度粉矿,1.067909893731355
20d,61%印度粉矿品牌价格：天津港（日）,56.0,Tianjin,61%印度粉矿,1.3583891400095043
25d,61%印度粉矿品牌价格：天津港（日）,116.0,Tianjin,61%印度粉矿,1.4613128739392687
30d,61%印度粉矿品牌价格：天津港（日）,152.0,Tianjin,61%印度粉矿,1.451184241229127
40d,61%印度粉矿品牌价格：天津港（日）,172.0,Tianjin,61%印度粉矿,1.579494011332276
50d,61%印度粉矿品牌价格：天津港（日）,152.0,Tianjin,61%印度粉矿,1.7618596855270574
60d,61%印度粉矿品牌价格：天津港（日）,200.0,Tianjin,61%印度粉矿,1.9226319813466952
5d,62%印度粉矿品牌价格：天津港（日）,1.0,Tianjin,62%印度粉矿,-0.486864495560143
10d,62%印度粉矿品牌价格：天津港（日）,53.0,Tianjin,62%印度粉矿,0.7477013109213283
15d,62%印度粉矿品牌价格：天津港（日）,71.0,Tianjin,62%印度粉矿,1.067909893731355
20d,62%印度粉矿品牌价格：天津港（日）,56.0,Tianjin,62%印度粉矿,1.3583891400095043
25d,62%印度粉矿品牌价格：天津港（日）,116.0,Tianjin,62%印度粉矿,1.4613128739392687
30d,62%印度粉矿品牌价格：天津港（日）,152.0,Tianjin,62%印度粉矿,1.451184241229127
40d,62%印度粉矿品牌价格：天津港（日）,172.0,Tianjin,62%印度粉矿,1.579494011332276
50d,62%印度粉矿品牌价格：天津港（日）,152.0,Tianjin,62%印度粉矿,1.7618596855270574
60d,62%印度粉矿品牌价格：天津港（日）,200.0,Tianjin,62%印度粉矿,1.9226319813466952
5d,63%印度粉矿品牌价格：天津港（日）,1.0,Tianjin,63%印度粉矿,-0.486864495560143
10d,63%印度粉矿品牌价格：天津港（日）,53.0,Tianjin,63%印度粉矿,0.7477013109213283
15d,63%印度粉矿品牌价格：天津港（日）,71.0,Tianjin,63%印度粉矿,1.067909893731355
20d,63%印度粉矿品牌价格：天津港（日）,56.0,Tianjin,63%印度粉矿,1.3583891400095043
25d,63%印度粉矿品牌价格：天津港（日）,116.0,Tianjin,63%印度粉矿,1.4613128739392687
30d,63%印度粉矿品牌价格：天津港（日）,152.0,Tianjin,63%印度粉矿,1.451184241229127
40d,63%印度粉矿品牌价格：天津港（日）,172.0,Tianjin,63%印度粉矿,1.579494011332276
50d,63%印度粉矿品牌价格：天津港（日）,152.0,Tianjin,63%印度粉矿,1.7618596855270574
60d,63%印度粉矿品牌价格：天津港（日）,200.0,Tianjin,63%印度粉矿,1.9226319813466952
5d,63.5%印度粉矿品牌价格：天津港（日）,1.0,Tianjin,63.5%印度粉矿,-0.486864495560143
10d,63.5%印度粉矿品牌价格：天津港（日）,53.0,Tianjin,63.5%印度粉矿,0.7477013109213283
15d,63.5%印度粉矿品牌价格：天津港（日）,71.0,Tianjin,63.5%印度粉矿,1.067909893731355
20d,63.5%印度粉矿品牌价格：天津港（日）,56.0,Tianjin,63.5%印度粉矿,1.3583891400095043
25d,63.5%印度粉矿品牌价格：天津港（日）,116.0,Tianjin,63.5%印度粉矿,1.4613128739392687
30d,63.5%印度粉矿品牌价格：天津港（日）,152.0,Tianjin,63.5%印度粉矿,1.451184241229127
40d,63.5%印度粉矿品牌价格：天津港（日）,172.0,Tianjin,63.5%印度粉矿,1.579494011332276
50d,63.5%印度粉矿品牌价格：天津港（日）,152.0,Tianjin,63.5%印度粉矿,1.7618596855270574
60d,63.5%印度粉矿品牌价格：天津港（日）,200.0,Tianjin,63.5%印度粉矿,1.9226319813466952
5d,63%纽曼块品牌价格：天津港（日）,-4.0,Tianjin,63%纽曼块,-0.6644319500693499
10d,63%纽曼块品牌价格：天津港（日）,36.0,Tianjin,63%纽曼块,0.5448556704370076
15d,63%纽曼块品牌价格：天津港（日）,59.0,Tianjin,63%纽曼块,0.9313401763813369
20d,63%纽曼块品牌价格：天津港（日）,37.0,Tianjin,63%纽曼块,1.2085538587714146
25d,63%纽曼块品牌价格：天津港（日）,91.0,Tianjin,63%纽曼块,1.3321719961489003
30d,63%纽曼块品牌价格：天津港（日）,124.0,Tianjin,63%纽曼块,1.3283188465893578
40d,63%纽曼块品牌价格：天津港（日）,142.0,Tianjin,63%纽曼块,1.4669960767674426
50d,63%纽曼块品牌价格：天津港（日）,132.0,Tianjin,63%纽曼块,1.6426403505264955
60d,63%纽曼块品牌价格：天津港（日）,159.0,Tianjin,63%纽曼块,1.8170835587165002
5d,62%巴粗（SSFG）品牌价格：天津港（日）,9.0,Tianjin,62%巴粗（SSFG）,0.762000762001143
10d,62%巴粗（SSFG）品牌价格：天津港（日）,58.0,Tianjin,62%巴粗（SSFG）,1.0326801969018637
15d,62%巴粗（SSFG）品牌价格：天津港（日）,83.0,Tianjin,62%巴粗（SSFG）,1.3177196206537005
20d,62%巴粗（SSFG）品牌价格：天津港（日）,64.0,Tianjin,62%巴粗（SSFG）,1.6007802111652967
25d,62%巴粗（SSFG）品牌价格：天津港（日）,113.0,Tianjin,62%巴粗（SSFG）,1.6982258204793121
30d,62%巴粗（SSFG）品牌价格：天津港（日）,154.0,Tianjin,62%巴粗（SSFG）,1.6334605238330357
40d,62%巴粗（SSFG）品牌价格：天津港（日）,175.0,Tianjin,62%巴粗（SSFG）,1.705056036353316
50d,62%巴粗（SSFG）品牌价格：天津港（日）,181.0,Tianjin,62%巴粗（SSFG）,1.854780736173976
60d,62%巴粗（SSFG）品牌价格：天津港（日）,228.0,Tianjin,62%巴粗（SSFG）,1.9612338699094314
5d,61%金布巴粉品牌价格：天津港（日）,1.0,Tianjin,61%金布巴粉,-0.486864495560143
10d,61%金布巴粉品牌价格：天津港（日）,53.0,Tianjin,61%金布巴粉,0.7477013109213283
15d,61%金布巴粉品牌价格：天津港（日）,69.0,Tianjin,61%金布巴粉,1.0744016115894504
20d,61%金布巴粉品牌价格：天津港（日）,55.0,Tianjin,61%金布巴粉,1.3656974203694425
25d,61%金布巴粉品牌价格：天津港（日）,115.0,Tianjin,61%金布巴粉,1.4607453885034558
30d,61%金布巴粉品牌价格：天津港（日）,154.0,Tianjin,61%金布巴粉,1.4324877687551727
40d,61%金布巴粉品牌价格：天津港（日）,174.0,Tianjin,61%金布巴粉,1.5562535104593314
50d,61%金布巴粉品牌价格：天津港（日）,159.0,Tianjin,61%金布巴粉,1.7240655129818483
60d,61%金布巴粉品牌价格：天津港（日）,207.0,Tianjin,61%金布巴粉,1.8794378490275239
5d,61.5%PB粉品牌价格：黄骅港（日）,1.0,Huanghua,61.5%PB粉,-0.5553681076005066
10d,61.5%PB粉品牌价格：黄骅港（日）,55.0,Huanghua,61.5%PB粉,0.7991025280559185
15d,61.5%PB粉品牌价格：黄骅港（日）,81.0,Huanghua,61.5%PB粉,1.0820721630297128
20d,61.5%PB粉品牌价格：黄骅港（日）,65.0,Huanghua,61.5%PB粉,1.3639959724746167
25d,61.5%PB粉品牌价格：黄骅港（日）,122.0,Huanghua,61.5%PB粉,1.4884789303812318
30d,61.5%PB粉品牌价格：黄骅港（日）,159.0,Huanghua,61.5%PB粉,1.4884191011730223
40d,61.5%PB粉品牌价格：黄骅港（日）,175.0,Huanghua,61.5%PB粉,1.6413730776656983
50d,61.5%PB粉品牌价格：黄骅港（日）,176.0,Huanghua,61.5%PB粉,1.7873927452833058
60d,61.5%PB粉品牌价格：黄骅港（日）,222.0,Huanghua,61.5%PB粉,1.9233227624382885
5d,56.5%超特粉品牌价格：黄骅港（日）,11.0,Huanghua,56.5%超特粉,0.34835084987227377
10d,56.5%超特粉品牌价格：黄骅港（日）,63.0,Huanghua,56.5%超特粉,0.9467464580110025
15d,56.5%超特粉品牌价格：黄骅港（日）,83.0,Huanghua,56.5%超特粉,1.2486686258177027
20d,56.5%超特粉品牌价格：黄骅港（日）,75.0,Huanghua,56.5%超特粉,1.5457160342063578
25d,56.5%超特粉品牌价格：黄骅港（日）,110.0,Huanghua,56.5%超特粉,1.709747050807606
30d,56.5%超特粉品牌价格：黄骅港（日）,130.0,Huanghua,56.5%超特粉,1.775781963596906
40d,56.5%超特粉品牌价格：黄骅港（日）,143.0,Huanghua,56.5%超特粉,1.9517463039988598
50d,56.5%超特粉品牌价格：黄骅港（日）,146.0,Huanghua,56.5%超特粉,2.1251434261264945
60d,56.5%超特粉品牌价格：黄骅港（日）,176.0,Huanghua,56.5%超特粉,2.2390845553846637
5d,61%金布巴粉品牌价格：黄骅港（日）,2.0,Huanghua,61%金布巴粉,-0.3779644730092272
10d,61%金布巴粉品牌价格：黄骅港（日）,60.0,Huanghua,61%金布巴粉,0.8430650658613863
